Name,URL,Language,size,Oversize?
cordova-plugin-statusbar,https://github.com/apache/cordova-plugin-statusbar.git,Objective-C,444,False
cassandra-dtest,https://github.com/apache/cassandra-dtest.git,Python,19965,False
maven-site-plugin,https://github.com/apache/maven-site-plugin.git,Java,2363,False
airavata-mft,https://github.com/apache/airavata-mft.git,Java,1126,False
skywalking-showcase,https://github.com/apache/skywalking-showcase.git,Makefile,570,False
systemds,https://github.com/apache/systemds.git,Java,328250,True
kafka-site,https://github.com/apache/kafka-site.git,HTML,42462,False
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,Java,43464,False
ofbiz-framework,https://github.com/apache/ofbiz-framework.git,Java,727423,True
iotdb,https://github.com/apache/iotdb.git,Java,59765,False
incubator-mxnet,https://github.com/apache/incubator-mxnet.git,C++,96357,False
myfaces-tobago,https://github.com/apache/myfaces-tobago.git,Java,80838,False
apisix-dashboard,https://github.com/apache/apisix-dashboard.git,Go,13044,False
dubbo,https://github.com/apache/dubbo.git,Java,37552,False
plc4x,https://github.com/apache/plc4x.git,Java,134756,False
incubator-wayang,https://github.com/apache/incubator-wayang.git,Java,11419,False
skywalking,https://github.com/apache/skywalking.git,Java,161704,False
accumulo,https://github.com/apache/accumulo.git,Java,82069,False
cordova-plugin-inappbrowser,https://github.com/apache/cordova-plugin-inappbrowser.git,Objective-C,1782,False
rocketmq,https://github.com/apache/rocketmq.git,Java,11268,False
turbine-core,https://github.com/apache/turbine-core.git,Java,26715,False
flink-training,https://github.com/apache/flink-training.git,Java,341,False
cayenne,https://github.com/apache/cayenne.git,Java,89203,False
hadoop-mapreduce,https://github.com/apache/hadoop-mapreduce.git,Java,35534,False
incubator-ponymail-site,https://github.com/apache/incubator-ponymail-site.git,HTML,3806,False
apisix-website,https://github.com/apache/apisix-website.git,JavaScript,883410,True
camel-website,https://github.com/apache/camel-website.git,CSS,714086,True
madlib,https://github.com/apache/madlib.git,C++,20001,False
calcite,https://github.com/apache/calcite.git,Java,76030,False
commons-lang,https://github.com/apache/commons-lang.git,Java,26529,False
jmeter,https://github.com/apache/jmeter.git,Java,90841,False
sling-org-apache-sling-starter,https://github.com/apache/sling-org-apache-sling-starter.git,Java,1030,False
incubator-teaclave-sgx-sdk,https://github.com/apache/incubator-teaclave-sgx-sdk.git,Rust,43788,False
gobblin,https://github.com/apache/gobblin.git,Java,130157,False
lucenenet,https://github.com/apache/lucenenet.git,C#,173965,False
hadoop,https://github.com/apache/hadoop.git,Java,526916,True
dubbo-spi-extensions,https://github.com/apache/dubbo-spi-extensions.git,Java,2833,False
tomee,https://github.com/apache/tomee.git,Java,82977,False
camel-performance-tests,https://github.com/apache/camel-performance-tests.git,Java,2344,False
daffodil,https://github.com/apache/daffodil.git,Scala,175974,False
openjpa,https://github.com/apache/openjpa.git,Java,37449,False
camel-kamelets,https://github.com/apache/camel-kamelets.git,Java,2906,False
logging-log4j2,https://github.com/apache/logging-log4j2.git,Java,53357,False
servicecomb-kie,https://github.com/apache/servicecomb-kie.git,Go,8762,False
incubator-annotator,https://github.com/apache/incubator-annotator.git,TypeScript,3669,False
ozone,https://github.com/apache/ozone.git,Java,40577,False
kylin,https://github.com/apache/kylin.git,Java,305102,True
brooklyn-ui,https://github.com/apache/brooklyn-ui.git,JavaScript,11312,False
infrastructure-website,https://github.com/apache/infrastructure-website.git,HTML,14803,False
flex-sdk,https://github.com/apache/flex-sdk.git,ActionScript,269011,False
maven,https://github.com/apache/maven.git,Java,49503,False
httpcomponents-client,https://github.com/apache/httpcomponents-client.git,Java,17255,False
bookkeeper,https://github.com/apache/bookkeeper.git,Java,57945,False
hbase,https://github.com/apache/hbase.git,Java,435233,True
dolphinscheduler-website,https://github.com/apache/dolphinscheduler-website.git,JavaScript,280458,False
ozone-site,https://github.com/apache/ozone-site.git,HTML,29449,False
incubator-shenyu,https://github.com/apache/incubator-shenyu.git,Java,27746,False
ignite-extensions,https://github.com/apache/ignite-extensions.git,Java,1672,False
